timestamp,pass_id,arm,case_id,cache_enabled,cache_hit,cache_miss,reused_tokens,decode_fa_ms,request_fa_ms,prefill_ms,wav_count,output_tokens,terminal,return_code,valid,invalid_reason
2026-07-25T18:19:12+00:00,12,B,0,1,1,0,62,5781,5788,7.2,2,29,AUDIO_SUCCESS,0,1,
2026-07-25T18:19:17+00:00,11,A,5,0,0,0,0,6185,19409,13224.0,1,41,AUDIO_SUCCESS,0,1,
2026-07-25T18:19:50+00:00,11,A,3,0,0,0,0,6604,16185,9581.5,42,1074,AUDIO_SUCCESS,0,1,
2026-07-25T18:19:51+00:00,12,B,3,1,1,0,62,8579,8581,2.3,16,409,AUDIO_SUCCESS,0,1,
2026-07-25T18:19:53+00:00,12,B,1,1,1,0,62,5566,5569,2.1,20,522,AUDIO_SUCCESS,0,1,
2026-07-25T18:20:16+00:00,12,B,5,1,1,0,62,5780,5783,3.1,10,270,AUDIO_SUCCESS,0,1,
2026-07-25T18:20:19+00:00,13,A,1,0,0,0,0,6435,16190,9754.4,2,49,AUDIO_SUCCESS,0,1,
2026-07-25T18:20:50+00:00,13,A,0,0,0,0,0,6569,15818,9249.2,35,880,AUDIO_SUCCESS,0,1,
2026-07-25T18:21:25+00:00,13,A,5,0,0,0,0,6396,16091,9694.9,27,693,AUDIO_SUCCESS,0,1,
2026-07-25T18:21:33+00:00,14,B,0,1,1,0,62,7965,7971,5.8,29,736,AUDIO_SUCCESS,0,1,
2026-07-25T18:21:42+00:00,13,A,3,0,0,0,0,6092,15530,9437.5,45,1142,AUDIO_SUCCESS,0,1,
2026-07-25T18:21:51+00:00,14,B,3,1,1,0,62,6638,6641,3.1,3,76,AUDIO_SUCCESS,0,1,
2026-07-25T18:22:23+00:00,15,A,0,0,0,0,0,6909,16210,9300.7,5,133,AUDIO_SUCCESS,0,1,
2026-07-25T18:22:30+00:00,14,B,5,1,1,0,62,5286,5288,2.4,30,753,AUDIO_SUCCESS,0,1,
2026-07-25T18:22:36+00:00,14,B,1,1,1,0,62,4650,4652,1.9,43,1099,AUDIO_SUCCESS,0,1,
2026-07-25T18:23:22+00:00,15,A,5,0,0,0,0,6567,16021,9454.0,17,428,AUDIO_SUCCESS,0,1,
2026-07-25T18:23:45+00:00,15,A,1,0,0,0,0,4387,13457,9069.4,47,1179,AUDIO_SUCCESS,0,1,
2026-07-25T18:23:46+00:00,16,B,0,1,1,0,62,8531,8535,4.6,4,111,AUDIO_SUCCESS,0,1,
2026-07-25T18:24:01+00:00,16,B,1,1,1,0,62,6032,6035,3.1,3,54,AUDIO_SUCCESS,0,1,
2026-07-25T18:24:03+00:00,15,A,3,0,0,0,0,7005,16408,9402.7,48,1206,AUDIO_SUCCESS,0,1,
2026-07-25T18:24:34+00:00,16,B,3,1,1,0,62,4958,4960,2.1,35,882,AUDIO_SUCCESS,0,1,
2026-07-25T18:24:40+00:00,16,B,5,1,1,0,62,7065,7071,6.5,16,424,AUDIO_SUCCESS,0,1,
