label,step,request_index,generation_id,D0,D2,G0,G3,G4,Q0,flow_start,flow_end,vocoder_start,vocoder_end,W0,client_first_audio,stale_write_count,cross_request_write_count,classification,detail
baseline,10,28,29,27,100,330,0,0,0,0,0,0,0,0,0,28,28,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=330ms, Talker didn't produce first audio token (stale=28)"
baseline,10,29,30,26,99,359,404,0,0,0,0,0,0,0,0,29,29,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=404ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,30,31,26,99,272,0,0,0,0,0,0,0,0,0,30,30,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=272ms, Talker didn't produce first audio token (stale=30)"
baseline,10,31,32,28,102,361,406,0,0,0,0,0,0,0,0,31,31,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=406ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,32,33,29,102,361,406,0,0,0,0,0,0,0,0,32,32,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=406ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,33,34,27,100,365,411,0,0,0,0,0,0,0,0,33,33,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=411ms, 25-token accumulation not reached (async pipeline backlogged)"
baseline,10,34,35,27,103,314,0,0,0,0,0,0,0,0,0,34,34,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=314ms, Talker didn't produce first audio token (stale=34)"
baseline,10,35,36,27,102,283,0,0,0,0,0,0,0,0,0,35,35,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=283ms, Talker didn't produce first audio token (stale=35)"
candidate,5,0,1,0,65,163,257,636,636,636,4482,4482,4878,4878,4878,0,0,VALID_W0,"W0=4878ms, client_first_audio=4878ms"
candidate,5,1,2,27,91,189,230,478,0,0,0,0,0,0,0,0,0,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=478ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,2,3,24,91,193,230,483,0,0,0,0,0,0,0,1,1,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=483ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,3,4,26,97,1180,0,0,0,0,0,0,0,0,0,3,3,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=1180ms, Talker didn't produce first audio token (stale=3)"
candidate,5,4,5,24,90,192,231,816,0,0,0,0,0,0,0,4,4,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=816ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,5,6,23,89,192,228,669,0,0,0,0,0,0,0,5,5,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=669ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,6,7,25,91,193,230,562,0,0,0,0,0,0,0,6,6,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=562ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,7,8,27,96,204,241,722,0,0,0,0,0,0,0,7,7,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=722ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,8,9,26,99,0,0,0,0,0,0,0,0,0,0,9,9,W0_NOT_REACHED_LLM_TOKEN_BUT_NO_TTS_WAKE,"D2=99ms, TTS never woke (possible text-only request)"
candidate,5,9,10,24,93,201,239,490,0,0,0,0,0,0,0,10,10,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=490ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,10,11,26,95,203,238,0,0,0,0,0,0,0,0,11,11,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=238ms, 25-token accumulation not reached (async pipeline backlogged)"
candidate,5,11,12,26,94,202,238,490,0,0,0,0,0,0,0,12,12,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=490ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,12,13,30,106,1172,0,0,0,0,0,0,0,0,0,14,14,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=1172ms, Talker didn't produce first audio token (stale=14)"
candidate,5,13,14,25,96,207,244,496,0,0,0,0,0,0,0,15,15,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=496ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,14,15,27,103,2285,0,0,0,0,0,0,0,0,0,19,19,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=2285ms, Talker didn't produce first audio token (stale=19)"
candidate,5,15,16,24,95,206,245,644,0,0,0,0,0,0,0,20,20,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=644ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,16,17,28,99,210,248,0,0,0,0,0,0,0,0,21,21,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=248ms, 25-token accumulation not reached (async pipeline backlogged)"
candidate,5,17,18,27,100,215,254,627,0,0,0,0,0,0,0,22,22,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=627ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,18,19,28,100,216,252,501,0,0,0,0,0,0,0,23,23,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=501ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,19,20,25,97,212,248,0,0,0,0,0,0,0,0,24,24,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=248ms, 25-token accumulation not reached (async pipeline backlogged)"
candidate,5,20,21,28,101,216,253,699,0,0,3205,3205,0,0,0,25,25,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=699ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,21,22,31,112,562,0,0,0,0,0,0,0,0,0,29,29,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=562ms, Talker didn't produce first audio token (stale=29)"
candidate,5,22,23,27,101,221,257,0,0,0,0,0,0,0,0,30,30,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=257ms, 25-token accumulation not reached (async pipeline backlogged)"
candidate,5,23,24,32,113,1052,0,0,0,0,0,0,0,0,0,32,32,W0_NOT_REACHED_TTS_WOKE_BUT_NO_AUDIO_TOKEN,"G0=1052ms, Talker didn't produce first audio token (stale=32)"
candidate,5,24,25,27,103,223,260,0,0,0,0,0,0,0,0,33,33,W0_NOT_REACHED_TALKER_TOKEN_BUT_NO_T2W_SUBMIT,"G3=260ms, 25-token accumulation not reached (async pipeline backlogged)"
candidate,5,25,26,29,104,225,261,744,0,0,0,0,0,0,0,34,34,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=744ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,26,27,27,102,222,262,547,0,0,0,0,0,0,0,35,35,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=547ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
candidate,5,27,28,30,107,230,267,518,0,0,0,0,0,0,0,36,36,W0_NOT_REACHED_T2W_NEVER_DEQUEUED,"G4=518ms, T2W dequeue never happened (queue backlog or thread not scheduled)"
